system:time_start,0
"Nov 6, 2024",0.522
"Nov 11, 2024",0.514
"Nov 18, 2024",0.445
"Nov 28, 2024",0.436
"Dec 3, 2024",0.371
"Dec 6, 2024",0.36
"Dec 8, 2024",0.383
"Dec 16, 2024",0.379
"Dec 21, 2024",0.36
"Dec 23, 2024",0.335
"Dec 26, 2024",0.336
"Dec 28, 2024",0.331
"Dec 31, 2024",0.333
"Jan 12, 2025",0.339
"Jan 15, 2025",0.33
"Jan 17, 2025",0.3
"Jan 30, 2025",0.352
"Feb 1, 2025",0.324
"Feb 4, 2025",0.303
"Feb 6, 2025",0.324
"Feb 16, 2025",0.287
"Mar 28, 2025",0.319
"Mar 30, 2025",0.315
"Mar 31, 2025",0.319
"Apr 7, 2025",0.379
"Apr 17, 2025",0.389
"Apr 25, 2025",0.476
"Apr 27, 2025",0.504
"May 25, 2025",0.576
"May 27, 2025",0.577
"May 29, 2025",0.563
"May 30, 2025",0.563
"Jun 6, 2025",0.504
"Jun 8, 2025",0.513
"Jun 9, 2025",0.474
"Jun 14, 2025",0.545
"Jun 16, 2025",0.509
"Jun 18, 2025",0.518
"Jun 21, 2025",0.491
"Jun 21, 2025",0.481
"Jun 26, 2025",0.522
"Jun 28, 2025",0.512
"Jun 29, 2025",0.507
"Jul 1, 2025",0.494
"Jul 4, 2025",0.517
"Jul 6, 2025",0.528
"Jul 8, 2025",0.498
"Jul 9, 2025",0.513
"Jul 11, 2025",0.506
"Jul 11, 2025",0.528
"Jul 14, 2025",0.545
"Jul 16, 2025",0.509
"Jul 18, 2025",0.521
"Jul 19, 2025",0.53
"Jul 21, 2025",0.525
"Jul 21, 2025",0.539
"Jul 24, 2025",0.531
"Jul 26, 2025",0.523
"Jul 28, 2025",0.51
"Jul 29, 2025",0.546
"Jul 31, 2025",0.505
"Jul 31, 2025",0.508
"Aug 3, 2025",0.492
"Aug 5, 2025",0.486
"Aug 7, 2025",0.488
"Aug 8, 2025",0.47
"Aug 10, 2025",0.489
"Aug 10, 2025",0.502
"Aug 13, 2025",0.516
"Aug 15, 2025",0.473
"Aug 20, 2025",0.119
"Aug 20, 2025",0.548
"Aug 23, 2025",0.476
"Aug 27, 2025",0.035
"Aug 28, 2025",0.5
"Aug 30, 2025",0.534
"Aug 30, 2025",0.543
"Sep 4, 2025",0.532
"Sep 9, 2025",0.516
"Sep 9, 2025",0.248
"Sep 12, 2025",0.525
"Sep 14, 2025",0.527
"Sep 16, 2025",0.512
"Sep 17, 2025",0.51
"Sep 22, 2025",0.537
"Sep 24, 2025",0.529
